Device,Ldrawn,Width,ViaOffsetLeft,ViaOffsetRight,Rdiff(Ohms),Cdiff(fF)
scl,100,100,10,10,25.6271,238184
scl,100,100,10,20,23.0937,238184
scl,100,20,4.685,5,141.201,48824.5
scl,100,20,5,5,140.802,48824.5
scl,100,248.68,5,4.525,11.3723,590298
scl,100,248.68,5,5,11.324,590298
scl,100,40,10,28.592,52.2927,95273.5
scl,100,40,10,4.525,67.5352,95273.5
scl,100,40,10,5,67.2343,95273.5
scl,100,40,20,10,57.7343,95273.5
scl,100,40,20,18.592,52.2927,95273.5
scl,100,40,20,4.525,61.2018,95273.5
scl,100,40,20,5,60.901,95273.5
scl,100,40,34.067,4.525,52.2927,95273.5
scl,100,40,4.685,10,67.4338,95273.5
scl,100,40,4.685,20,61.1005,95273.5
scl,100,40,4.685,33.907,52.2927,95273.5
scl,100,40,4.685,5,70.6005,95273.5
scl,100,40,5,10,67.2343,95273.5
scl,100,40,5,20,60.901,95273.5
scl,100,40,5,33.592,52.2927,95273.5
scl,100,40,5,4.525,70.7018,95273.5
scl,100,8.32,4.685,4.525,340.872,20111.4
scl,100,8.32,4.685,5,339.425,20111.4
scl,100,8.32,5,10,323.242,20111.4
scl,100,8.32,5,20,292.793,20111.4
scl,100,8.32,5,33.592,251.407,20111.4
scl,100,8.32,5,4.525,339.913,20111.4
scl,100,8.32,5,5,338.466,20111.4
scl,22.56,100,4.685,4.525,5.6448,39937.2
scl,22.56,20,4.685,4.525,28.224,9175.2
scl,22.56,248.68,4.685,4.525,2.26991,97299.1
scl,22.56,40,4.685,4.525,14.112,15974.9
scl,22.56,8.32,4.685,4.525,67.8462,3617.34
scl,248.68,100,10,10,69.2399,618804
scl,248.68,100,10,20,66.7065,618804
scl,248.68,100,10,4.525,70.6269,618804
scl,40,100,10,4.525,9.41407,84583.6
scl,40,100,10,5,9.29373,84583.6
scl,40,100,10,8.659,8.36679,84583.6
scl,40,100,14.134,4.525,8.36679,84583.6
scl,40,100,4.685,10,9.37353,84583.6
scl,40,100,4.685,13.974,8.36679,84583.6
scl,40,100,4.685,4.525,10.7605,84583.6
scl,40,100,4.685,5,10.6402,84583.6
scl,40,20,5,4.525,53.4037,18104.5
scl,40,20,5,5,52.802,18104.5
scl,40,248.68,10,4.525,3.78561,208326
scl,40,248.68,5,13.659,3.36448,208326
scl,40,248.68,5,4.525,4.29497,208326
